Epochs : 274, train loss : 0.055307, train accurancy : 100.00, test accurancy : 85.93
Epochs : 275, train loss : 0.052299, train accurancy : 100.00, test accurancy : 85.65
Epochs : 276, train loss : 0.046193, train accurancy : 100.00, test accurancy : 84.81
Epochs : 277, train loss : 0.047401, train accurancy : 100.00, test accurancy : 84.91
Epochs : 278, train loss : 0.039202, train accurancy : 100.00, test accurancy : 85.46
Epochs : 279, train loss : 0.056623, train accurancy : 100.00, test accurancy : 86.20
Epochs : 280, train loss : 0.050429, train accurancy : 100.00, test accurancy : 86.02
Epochs : 281, train loss : 0.061915, train accurancy : 100.00, test accurancy : 84.26
Epochs : 282, train loss : 0.043743, train accurancy : 100.00, test accurancy : 85.46
Epochs : 283, train loss : 0.037550, train accurancy : 100.00, test accurancy : 85.83
Epochs : 284, train loss : 0.064529, train accurancy : 100.00, test accurancy : 85.37
Epochs : 285, train loss : 0.063691, train accurancy : 100.00, test accurancy : 85.56
Epochs : 286, train loss : 0.044534, train accurancy : 100.00, test accurancy : 84.91
Epochs : 287, train loss : 0.053985, train accurancy : 100.00, test accurancy : 85.83
Epochs : 288, train loss : 0.041977, train accurancy : 100.00, test accurancy : 84.91
Epochs : 289, train loss : 0.043778, train accurancy : 100.00, test accurancy : 85.28
Epochs : 290, train loss : 0.053004, train accurancy : 100.00, test accurancy : 84.91
Epochs : 291, train loss : 0.040284, train accurancy : 100.00, test accurancy : 85.46
Epochs : 292, train loss : 0.032168, train accurancy : 100.00, test accurancy : 85.83
Epochs : 293, train loss : 0.038115, train accurancy : 100.00, test accurancy : 85.00
Epochs : 294, train loss : 0.052236, train accurancy : 100.00, test accurancy : 85.83
Epochs : 295, train loss : 0.065726, train accurancy : 99.81, test accurancy : 85.46
Epochs : 296, train loss : 0.044485, train accurancy : 100.00, test accurancy : 85.09
Epochs : 297, train loss : 0.067166, train accurancy : 100.00, test accurancy : 85.65
Epochs : 298, train loss : 0.044678, train accurancy : 100.00, test accurancy : 85.56
Epochs : 299, train loss : 0.042448, train accurancy : 100.00, test accurancy : 84.35
Epochs : 300, train loss : 0.054751, train accurancy : 100.00, test accurancy : 84.54
